damageDealtToTurrets,neutralMinionsKilledTeamJungle,quadraKills,magicalDamageTaken,season,firstTowerKill,firstInhibitorKill,perk2Var2,firstTowerAssist,perk2,role,win,unrealKills,perk3,doubleKills,item2,item5,lane,largestCriticalStrike,totalDamageDealt,perk2Var3,playerScore7,perk0Var1,damageDealtToObjectives,neutralMinionsKilledEnemyJungle,tripleKills,magicDamageDealt,totalTimeCrowdControlDealt,totalMinionsKilled,trueDamageTaken,totalUnitsHealed,perk0,playerScore6,timestamp,firstBloodAssist,trueDamageDealt,perk2Var1,perk1Var2,champion,killingSprees,perk4,gameId,perk5,visionScore,assists,perk1Var1,perk5Var3,magicDamageDealtToChampions,perk0Var3,champLevel,firstInhibitorAssist,item3,perk5Var1,perk3Var1,physicalDamageDealt,participantId,perk0Var2,longestTimeSpentLiving,playerScore4,largestMultiKill,item4,totalPlayerScore,queue,objectivePlayerScore,firstBloodKill,totalDamageTaken,item1,playerScore9,timeCCingOthers,item6,inhibitorKills,damageSelfMitigated,playerScore2,wardsPlaced,goldSpent,pentaKills,playerScore8,perk3Var3,physicalDamageTaken,perk4Var3,perk1Var3,visionWardsBoughtInGame,totalDamageDealtToChampions,physicalDamageDealtToChampions,perk3Var2,playerScore3,playerScore5,playerScore0,perk4Var1,totalHeal,goldEarned,perk1,sightWardsBoughtInGame,playerScore1,neutralMinionsKilled,item0,perkSubStyle,perkPrimaryStyle,combatPlayerScore,kills,perk4Var2,deaths,trueDamageDealtToChampions,wardsKilled,largestKillingSpree,totalScoreRank,platformId,perk5Var2,turretKills
7211,80,0,3841,11,False,False,40,False,9104,NONE,True,0,8014,2,3153,0,JUNGLE,0,151467,0,0,813,13961,3,0,34334,43,57,988,1,8010,0,1532012582927,False,3645,12,0,24,3,8135,2829263373,8143,0,4,749,0,5039,0,14,True,3124,696,512,113486,5,0,607,0,2,0,0,470,0,False,21557,3047,0,9,3348,0,13633,0,,10375,0,0,0,16727,0,0,0,19526,12082,0,0,0,0,5,10649,11788,9111,0,0,84,1419,8100,8000,0,9,0,3,2405,,4,0,NA1,0,3
1107,86,0,17704,11,False,False,0,False,8138,NONE,False,0,8135,1,3156,1033,JUNGLE,7,175383,0,0,1296,1107,0,0,5004,451,81,2330,1,8112,0,1532002178506,False,3656,18,0,141,2,9111,2829226787,8014,0,10,882,0,163,0,17,False,3065,372,4,166722,2,0,566,0,2,3075,0,470,0,False,44248,3111,0,33,3348,0,45214,0,,13275,0,0,0,24213,0,0,0,20481,19222,0,0,0,0,992,21827,13282,8143,0,0,86,1400,8000,8100,0,6,0,6,1096,,4,0,NA1,0,0
813,76,0,11083,11,False,False,10,False,9104,NONE,True,0,8014,1,3153,0,JUNGLE,0,144679,0,0,518,8454,0,0,33447,77,69,440,1,8010,0,1531985794493,False,5324,18,0,24,1,8135,2829194473,8143,0,6,864,0,3414,0,15,False,3071,405,319,105908,2,0,588,0,2,1033,0,470,0,False,28504,3111,0,12,3348,0,18407,0,,10525,0,0,0,16981,0,0,0,13711,8923,0,0,0,0,5,12369,10870,9111,0,0,76,1419,8100,8000,0,4,0,5,1374,,4,0,NA1,0,1
9886,0,1,1171,11,False,True,0,False,9104,DUO_SUPPORT,True,0,8014,5,0,0,NONE,0,64862,0,0,674,9886,4,1,737,10,73,0,1,8010,0,1531724541720,False,6965,8,0,11,1,8135,2827121077,8143,1,5,1515,0,406,0,10,False,0,663,385,57159,5,0,0,0,4,0,0,830,0,False,7180,3124,0,0,3340,2,3324,0,0,3800,0,0,0,6009,0,0,0,19671,13225,0,0,0,0,5,3724,8156,9111,0,0,8,1055,8100,8000,0,20,0,0,6039,0,20,0,NA1,0,5
333,,0,6361,11,False,False,0,False,8444,DUO_SUPPORT,False,0,8242,0,3075,1029,NONE,24,32245,0,0,204,333,,0,12327,305,25,1180,3,8439,0,1531706127567,False,570,1034,0,516,1,9105,2826954208,8014,0,14,98,0,4911,0,15,False,3001,176,17,19347,4,0,310,0,1,3751,0,450,0,True,16126,3111,0,29,2052,0,22017,0,,9300,0,0,0,8585,0,0,0,9100,3668,0,8,0,0,12,2477,9423,8463,0,0,0,2051,8000,8400,0,3,40,5,520,,2,0,NA1,0,0
0,56,0,3408,11,False,False,0,False,9104,NONE,False,0,8014,0,2031,0,JUNGLE,0,84214,0,0,12,0,3,0,2800,0,42,861,1,8010,0,1531704547915,False,3653,0,0,11,0,8135,2826918967,8143,0,2,37,0,0,0,12,False,3153,209,74,77760,4,0,346,0,0,0,0,470,0,False,18810,1001,0,0,3348,0,7556,0,,6275,0,0,0,14540,0,0,0,5519,4242,0,0,0,0,2,4841,6537,9111,0,0,59,1419,8100,8000,0,0,0,7,1276,,0,0,NA1,0,0
2918,69,0,4660,11,False,True,0,False,9104,NONE,True,0,8014,4,3153,0,JUNGLE,620,170920,0,0,496,10130,17,2,7999,4,82,423,1,8010,0,1531693190800,False,9196,11,0,11,3,8135,2826803253,8143,0,5,1140,0,487,0,16,False,3124,558,416,153723,4,0,416,0,3,3087,0,470,0,True,26849,3047,0,0,3348,1,15602,0,,13275,0,0,0,21765,0,0,0,18562,13065,0,0,0,0,5,11359,15001,9111,0,0,87,1419,8100,8000,0,12,0,6,5009,,5,0,NA1,0,3
3146,85,0,6534,11,False,True,0,False,9104,NONE,True,0,8014,3,3153,3086,JUNGLE,0,166155,0,0,1112,12088,16,1,6114,6,44,1677,1,8010,0,1531640714106,False,12973,13,0,11,3,8135,2826311503,8143,0,5,936,0,231,0,16,False,3124,426,339,147067,1,0,469,0,3,3006,0,470,0,False,24363,2015,0,0,3348,2,11022,0,,12475,0,0,0,16152,0,0,0,16078,9860,0,0,0,0,5,10388,13543,9111,0,0,102,1419,8100,8000,0,9,0,6,5986,,3,0,NA1,0,1
2542,76,0,4525,11,False,False,10,False,9104,NONE,True,0,8014,0,3047,0,JUNGLE,1488,174432,0,0,179,19928,8,0,13537,540,86,164,1,8010,0,1531543467461,False,13627,22,0,23,1,8135,2825665314,8143,25,1,329,0,353,0,16,True,3087,153,80,147267,8,0,707,0,1,0,0,420,0,False,25512,3031,0,5,3340,0,13300,0,9,10375,0,0,0,20822,0,0,0,4247,2882,0,0,0,0,2,11983,10829,9111,0,0,120,1416,8100,8000,0,2,0,3,1011,0,2,0,NA1,0,1
5810,41,1,4111,11,False,False,30,False,9104,DUO_SUPPORT,False,0,8014,1,3153,0,TOP,490,124603,0,0,569,8575,0,1,2651,198,97,973,1,8010,0,1531541296197,False,16088,15,0,11,1,8135,2825656932,8143,10,4,944,0,190,0,14,False,3124,433,401,105862,10,0,579,0,4,3086,0,420,0,False,21055,3006,0,4,3340,0,9920,0,6,11675,0,0,0,15970,0,0,0,14921,9893,0,0,0,0,5,7475,11991,9111,0,0,52,1419,8100,8000,0,10,0,7,4837,0,7,0,NA1,0,0
